sample_name,condition,path,fastq1,fastq2
NT_19074709_S20,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074709_S20.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074709_S20.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074709_S20.2.fastq.gz
NT_19074711_S17,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074711_S17.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074711_S17.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074711_S17.2.fastq.gz
NT_19074713_S59,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074713_S59.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074713_S59.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074713_S59.2.fastq.gz
NT_19074715_S37,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074715_S37.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074715_S37.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074715_S37.2.fastq.gz
NT_19074717_S21,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074717_S21.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074717_S21.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074717_S21.2.fastq.gz
NT_19074719_S22,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074719_S22.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074719_S22.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074719_S22.2.fastq.gz
NT_19074721_S50,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074721_S50.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074721_S50.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074721_S50.2.fastq.gz
NT_19074723_S36,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074723_S36.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074723_S36.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074723_S36.2.fastq.gz
NT_19074725_S27,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074725_S27.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074725_S27.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074725_S27.2.fastq.gz
NT_19074727_S44,CTL,/SAN/vyplab/alb_projects/data/ward_bams/newer_longer_bams/WARD_BAMS_NEW/NT_19074727_S44.pass2Aligned.sortedByCoord.out.bam,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074727_S44.1.fastq.gz,/SAN/vyplab/first_weeks/WARD_BAMS_NEW/pulled_fastq/NT_19074727_S44.2.fastq.gz
